"Corso","Code","Dipartimento","NomeDipartimento","CodeLink","Link","CorsoLink"
"06228","500264","500085","Industriale","663","INGEGNERIAALIMENTARE","_CORSODILAUREAMAGISTRALE_"
"06222","500265","500085","Industriale","663","INGEGNERIACHIMICA","_CORSODILAUREAMAGISTRALE_"
"06224","500267","500085","Industriale","663","INGEGNERIAELETTRONICA","_CORSODILAUREAMAGISTRALE_"
"06226","500192","500085","Industriale","663","INGEGNERIAGESTIONALE","_CORSODILAUREAMAGISTRALE_"
"06223","500268","500085","Industriale","663","INGEGNERIAMECCANICA","_CORSODILAUREAMAGISTRALE_"
"06122","500186","500085","Industriale","663","INGEGNERIACHIMICA","_CORSODILAUREA_"
"06124","500190","500085","Industriale","663","INGEGNERIAELETTRONICA","_CORSODILAUREA_"
"06126","500185","500085","Industriale","663","INGEGNERIAGESTIONALE","_CORSODILAUREA_"
"06123","500184","500085","Industriale","663","INGEGNERIAMECCANICA","_CORSODILAUREA_"
"06229","500520","500097","dellInformazione_ed_Elettrica_e_Matematica_Applicata","662","DIGITALHEALTHANDBIOINFORMATICENGINEERING","_CORSODILAUREAMAGISTRALE_"
"06127","500189","500097","dellInformazione_ed_Elettrica_e_Matematica_Applicata","662","INGEGNERIAINFORMATICA","_CORSODILAUREA_"
"06227","500191","500097","dellInformazione_ed_Elettrica_e_Matematica_Applicata","662","INGEGNERIAINFORMATICA","_CORSODILAUREAMAGISTRALE_"
"06121","500187","500084","Civile","664","INGEGNERIACIVILE","_CORSODILAUREA_"
"06221","500266","500084","Civile","664","INGEGNERIACIVILE","_CORSODILAUREAMAGISTRALE_"
"06601","500271","500084",,"0","INGEGNERIAEDILE-ARCHITETTURA",
"06125","500188","500084","Civile","664","INGEGNERIACIVILEPERLAMBIENTEEDILTERRITORIO","_CORSODILAUREA_"
"06225","500269","500084","Civile","664","INGEGNERIAPERLAMBIENTEEILTERRITORIO","_CORSODILAUREAMAGISTRALE_"
